ID,Target
ID_AAcismbB,0.131167
ID_AAeBMsji,0.18765
ID_AAjFMjzy,0.566298
ID_AAmMOEEC,0.396252
ID_ABguzDxp,0.248183
ID_ABomWihE,0.297425
ID_ACDBDjVC,0.270329
ID_AEnEBaEk,0.344802
ID_AFDiXCWE,0.124904
ID_AFFdlZrY,0.184795
ID_AFFhrAEa,0.482792
ID_AFTYARrX,0.268104
ID_AFxizGWn,0.1972
ID_AGXURqVa,0.376921
ID_AGcfrBss,0.116103
ID_AGhyJnjs,0.308065
ID_AHHszlce,0.216271
ID_AHfEgdxI,0.620262
ID_AHxMZjLk,0.203403
ID_AIRMTzvW,0.202856
ID_AIhXjNzB,0.251291
ID_AInNJcPZ,0.632635
ID_AJeUKOax,0.326965
ID_AJtmZTPv,0.234588
ID_AJvMJUgh,0.224472
ID_AKDNaIeF,0.47594
ID_AKtFUCOh,0.16692
ID_ALMWkcWZ,0.222414
ID_ALsuDzjy,0.471805
ID_AMDeLpAe,0.42014
ID_AMFLUESH,0.191316
ID_AMPzBaLI,0.562677
ID_AMQunDcB,0.488125
ID_AMoeaBNL,0.51576
ID_AMqLADVZ,0.210103
ID_ANjdaLZT,0.637431
ID_ANmZqeaJ,0.281979
ID_AOSShqiH,0.676288
ID_AOtbKdTz,0.182558
ID_APPZTAvk,0.675963
ID_APXZieOd,0.39013
ID_APYmHMeT,0.19265
ID_APqxpzOM,0.546616
ID_AQXRdQFe,0.151663
ID_AQahPNSl,0.156836
ID_ASJBnAcz,0.154228
ID_ASScpzpo,0.149154
ID_ASYEmqFR,0.635351
ID_ASYmdsAQ,0.430885
ID_ASizsGwc,0.207288
ID_ATGMmtfy,0.533103
ID_ATfXaLki,0.174749
ID_ATvhCiLv,0.285017
ID_AUYDTXht,0.374452
ID_AUgbYLcu,0.253492
ID_AUikRRXA,0.171496
ID_AWFsJxKf,0.419389
ID_AWMJnaEH,0.566577
ID_AWUFocya,0.43011
ID_AWkhcJQd,0.130315
ID_AXFMbyYb,0.645416
ID_AXpXAnqG,0.382704
ID_AYFCJcwy,0.159419
ID_AYbBsLeO,0.133895
ID_AYhMSkOo,0.226835
ID_AYozseeP,0.595999
